eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,TW.SGS.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,120.5907974243164,23.080400466918945,-0.278,121.24130249023438,22.865299224853516,8.930000305175781,7302,7302,7302,0.0,0.0,0.0,100.0,36001,36001,36001,3.24e-06,3.24e-06,3.23e-06,70.83046029130142,71.42647530641383,3.85
13010321.P18,TW.SLG.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,120.64630126953125,22.99340057373047,-0.255,121.24130249023438,22.865299224853516,8.930000305175781,7168,7168,7168,0.0,0.0,0.0,100.0,36001,36001,36001,5.36e-10,5.42e-10,5.29e-10,62.659709967084616,63.329325622220566,3.85
13010321.P18,TW.SLG.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,120.64630126953125,22.99340057373047,-0.255,121.24130249023438,22.865299224853516,8.930000305175781,7213,7213,7213,0.0,0.0,0.0,100.0,36001,36001,36001,3.07e-06,3.07e-06,3.07e-06,62.659709967084616,63.329325622220566,3.85
13010321.P18,TW.SMG.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,120.6447982788086,22.705400466918945,-0.145,121.24130249023438,22.865299224853516,8.930000305175781,7167,7167,7167,0.0,0.0,0.0,100.0,36001,36001,36001,1.49e-09,1.52e-09,1.57e-09,63.75950802967756,64.40210008008634,3.85
13010321.P18,TW.SMG.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,120.6447982788086,22.705400466918945,-0.145,121.24130249023438,22.865299224853516,8.930000305175781,7177,7177,7177,0.0,0.0,0.0,100.0,36001,36001,36001,6.37e-06,6.4e-06,6.4e-06,63.75950802967756,64.40210008008634,3.85
13010321.P18,TW.SMG.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,120.6447982788086,22.705400466918945,-0.145,121.24130249023438,22.865299224853516,8.930000305175781,7181,7181,7181,0.0,0.0,0.0,100.0,36001,36001,36001,6.4e-06,6.5e-06,6.43e-06,63.75950802967756,64.40210008008634,3.85
13010321.P18,TW.SSD.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,120.64019775390625,22.744300842285156,-0.148,121.24130249023438,22.865299224853516,8.930000305175781,7064,7064,7064,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,63.15287613291571,63.802005089183254,3.85
13010321.P18,TW.SSD.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,120.64019775390625,22.744300842285156,-0.148,121.24130249023438,22.865299224853516,8.930000305175781,7066,7066,7066,0.0,0.0,0.0,100.0,36001,36001,36001,3.12e-06,3.12e-06,3.12e-06,63.15287613291571,63.802005089183254,3.85
13010321.P18,TW.STY.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,120.7655029296875,23.16080093383789,-0.64,121.24130249023438,22.865299224853516,8.930000305175781,7121,7121,7121,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,58.7364450691476,59.51096441162803,3.85
13010321.P18,TW.STY.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,120.7655029296875,23.16080093383789,-0.64,121.24130249023438,22.865299224853516,8.930000305175781,7123,7123,7123,0.0,0.0,0.0,100.0,36001,36001,36001,3.22e-06,3.25e-06,3.22e-06,58.7364450691476,59.51096441162803,3.85
